name,domain,search_url,optout_url,country,method,requirements,notes,search_pattern,result_selector,detail_selector
Alliant Cooperative Data Solutions,alliantinsight.com,https://www.alliantinsight.com/search?q={query},https://alliantinsight.com/alliant-privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Alphonso Inc.,lgads.tv,https://www.lgads.tv/search?q={query},https://lgads.tv/site-privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
ALTAIR DATA RESOURCES Inc,altairdata.com,https://www.altairdata.com/search?q={query},https://www.altairdata.com/altair-privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
ALTRATA Inc,wealthx.com,https://www.wealthx.com/search?q={query},https://wealthx.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"American City Business Journals, Inc.",acbj.com,https://www.acbj.com/search?q={query},https://www.acbj.com/privacy,US,form,"name, email",Data broker registered in US state registries,,,
AMERICAN SPIRIT DATA SOLUTIONS LLC,aspire-north.com,https://www.aspire-north.com/search?q={query},https://www.americanspiritcorp.com/data-services-and-website-privacy-policy.html,US,form,"name, email",Data broker registered in US state registries,,,
Amplemarket,amplemarket.com,https://www.amplemarket.com/search?q={query},https://www.amplemarket.com/legal/privacy,US,form,"name, email",Data broker registered in US state registries,,,
"Amrent, Inc.",factualdata.com,https://www.factualdata.com/search?q={query},https://www.factualdata.com/privacy/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
Analyticsiq,analyticsiq.com,https://www.analyticsiq.com/search?q={query},https://www.analyticsiq.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Anchor Computer,anchorcomputer.com,https://www.anchorcomputer.com/search?q={query},https://anchorcomputer.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
ANDREWS WHARTON Inc,andrewswharton.com,https://www.andrewswharton.com/search?q={query},https://www.andrewswharton.com/privacy,US,form,"name, email",Data broker registered in US state registries,,,
Anexinet Corp.,anexinet.com,https://www.anexinet.com/search?q={query},https://www.anexinet.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Anne Lewis Strategies, LLC",missionwired.com,https://www.missionwired.com/search?q={query},https://missionwired.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
ANSONIA CREDIT DATA Inc,theworknumber.com,https://www.theworknumber.com/search?q={query},https://www.paynet.com/privacy/,US,form,"name, email",Data broker registered in US state registries,,,
Anteriad,anteriad.com,https://www.anteriad.com/search?q={query},https://anteriad.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"Apihub, Inc",clearbit.com,https://www.clearbit.com/search?q={query},https://www.clearbit.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
APOLLO INTERACTIVE LLC,apollointeractive.com,https://www.apollointeractive.com/search?q={query},https://www.apollointeractive.com/privacy-policy.php,US,form,"name, email",Data broker registered in US state registries,,,
Appscience,appscience.ai,https://www.appscience.ai/search?q={query},https://www.appscience.ai/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
ARISTOTLE INTERNATIONAL Inc,aristotle.com,https://www.aristotle.com/search?q={query},https://www.aristotle.com/privacy/do-not-sell-my-personal-info/,US,form,"name, email",Data broker registered in US state registries,,,
"Arity 875, LLC",arity.com,https://www.arity.com/search?q={query},https://arity.com/privacy/,US,form,"name, email",Data broker registered in US state registries,,,
Arrakis Technologies Corp.,arrakis.ai,https://www.arrakis.ai/search?q={query},https://arrakis.ai/optout,US,form,"name, email",Data broker registered in US state registries,,,
"Asset International, Inc.",issmarketintelligence.com,https://www.issmarketintelligence.com/search?q={query},https://www.issgovernance.com/privacy-legal/,US,form,"name, email",Data broker registered in US state registries,,,
Astoria Company Marketing LLC,astoriacompany.com,https://www.astoriacompany.com/search?q={query},https://www.astoriacompany.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
ATDATA LLC,atdata.com,https://www.atdata.com/search?q={query},https://www.atdata.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Atlantic Fox Technologies, Inc.",atlanticfox.com,https://www.atlanticfox.com/search?q={query},https://www.atlanticfox.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
ATTOM Data Solutions,attomdata.com,https://www.attomdata.com/search?q={query},https://www.attomdata.com/privacy/,US,form,"name, email",Data broker registered in US state registries,,,
AUDIENCE ACUITY Inc,audienceacuity.com,https://www.audienceacuity.com/search?q={query},https://www.audienceacuity.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Audiencerate Ltd,audiencerate.com,https://www.audiencerate.com/search?q={query},https://www.audiencerate.com/privacy,US,form,"name, email",Data broker registered in US state registries,,,
Audigent,audigent.com,https://www.audigent.com/search?q={query},https://www.audigent.com/privacypolicy,US,form,"name, email",Data broker registered in US state registries,,,
Automotive Mastermind,automotivemastermind.com,https://www.automotivemastermind.com/search?q={query},https://www.automotivemastermind.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"Autoweb, Inc.",autoweb.com,https://www.autoweb.com/search?q={query},https://www.autoweb.com/privacy,US,form,"name, email",Data broker registered in US state registries,,,
Azerion US Inc.,azerion.com,https://www.azerion.com/search?q={query},https://www.azerion.com/azerion-global-corporate-privacy-notice/,US,form,"name, email",Data broker registered in US state registries,,,
Azira,azira.com,https://www.azira.com/search?q={query},https://azira.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Backgroundchecks.Com LLC,none,https://www.none/search?q={query},https://www.backgroundchecks.com/privacy-policy,US,form,"name, address, phone",Data broker registered in US state registries,,,
BB Direct Inc,bbdirect.com,https://www.bbdirect.com/search?q={query},https://www.bbdirect.com/privacy.html,US,form,"name, email",Data broker registered in US state registries,,,
BDEX LLC,bdex.com,https://www.bdex.com/search?q={query},https://www.bdex.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"BDO Gci, LLC",bdo.com,https://www.bdo.com/search?q={query},https://www.bdo.com/website-terms-and-conditions,US,form,"name, email",Data broker registered in US state registries,,,
BEEN VERIFIED LLC,beenverified.com,https://www.beenverified.com/search?fns={query},https://www.beenverified.com/faq/privacy/,US,form,"name, email",Data broker registered in US state registries,,,
Beeswax,beeswax.com,https://www.beeswax.com/search?q={query},https://www.beeswax.com/privacy/,US,form,"name, email",Data broker registered in US state registries,,,
BH MARKETING GROUP LLC,usmarketinggrp.com,https://www.usmarketinggrp.com/search?q={query},https://usmarketinggrp.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
BIGDBM,bigdbm.com,https://www.bigdbm.com/search?q={query},https://bigdbm.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Biointelli Corporation,biointelli.com,https://www.biointelli.com/search?q={query},https://www.biointelli.com/Account/PrivacyPolicy,US,form,"name, email",Data broker registered in US state registries,,,
Black Pearl Group Limited,blackpearl.com,https://www.blackpearl.com/search?q={query},https://www.blackpearl.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
BLACKBAUD Inc,blackbaud.com,https://www.blackbaud.com/search?q={query},https://www.blackbaud.com/company/privacy-policy/north-america,US,form,"name, email",Data broker registered in US state registries,,,
Blis Global Ltd,blis.com,https://www.blis.com/search?q={query},https://www.blis.com/privacy-centre/,US,form,"name, email",Data broker registered in US state registries,,,
"Bliss Point Media, Inc.",blisspointmedia.com,https://www.blisspointmedia.com/search?q={query},https://blisspointmedia.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
Blue Action,blueaction.io,https://www.blueaction.io/search?q={query},https://www.blueaction.io/privacy,US,form,"name, email",Data broker registered in US state registries,,,
Blue Hill Marketing Solutions,liftengine.com,https://www.liftengine.com/search?q={query},https://www.liftengine.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Bombora, Inc",bombora.com,https://www.bombora.com/search?q={query},https://bombora.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Bridg, A Division Of Cardlytics, Inc.",bridg.com,https://www.bridg.com/search?q={query},https://www.bridg.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
Bridge,thebridgecorp.com,https://www.thebridgecorp.com/search?q={query},https://www.thebridgecorp.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Brightcheck Inc.,brightcheck.com,https://www.brightcheck.com/search?q={query},https://www.brightcheck.com/privacy-policy,US,form,"name, address, phone",Data broker registered in US state registries,,,
Brightswipe Inc,brightswipe.com,https://www.brightswipe.com/search?q={query},https://brightswipe.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
"Brooks Integrated Marketing, LLC",brooksim.com,https://www.brooksim.com/search?q={query},https://www.brooksim.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
BTRS Holdings Inc,billtrust.com,https://www.billtrust.com/search?q={query},https://www.billtrust.com/legal/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
BUILDERTREND SOLUTIONS Inc,buildertrend.com,https://www.buildertrend.com/search?q={query},https://www.buildertrend.com/additional-state-disclosures/,US,form,"name, email",Data broker registered in US state registries,,,
Bureau Van Dijk Electronic Publishing Ltd.,bvdinfo.com,https://www.bvdinfo.com/search?q={query},https://www.moodys.com/privatepolicy.aspx?lang=en&cy=global,US,form,"name, email",Data broker registered in US state registries,,,
Business Resource Center LLC,nan,https://www.nan/search?q={query},https://nan/optout,US,form,"name, email",Data broker registered in US state registries,,,
"Buxton Company, LLC",buxtonco.com,https://www.buxtonco.com/search?q={query},https://www.buxtonco.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
Buyerlink Inc.,buyerlink.com,https://www.buyerlink.com/search?q={query},https://www.buyerlink.com/privacy,US,form,"name, email",Data broker registered in US state registries,,,
BV Insights LLC,big-village.com,https://www.big-village.com/search?q={query},https://big-village.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Cadent, LLC",cadent.tv,https://www.cadent.tv/search?q={query},https://cadent.tv/website-privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Cappex.Com, LLC",eab.com,https://www.eab.com/search?q={query},https://www.appily.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
Captify Technologies,captifytechnologies.com,https://www.captifytechnologies.com/search?q={query},https://www.captifytechnologies.com/privacy-notice/,US,form,"name, email",Data broker registered in US state registries,,,
Car Market Solutions LLC,carmarketsolutions.com,https://www.carmarketsolutions.com/search?q={query},https://carmarketsolutions.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
CAREERBUILDER LLC,careerbuilder.com,https://www.careerbuilder.com/search?q={query},https://careerbuilder.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
Carney Direct Marketing,carneydirect.com,https://www.carneydirect.com/search?q={query},https://www.carneydirect.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
CARRY TECHNOLOGIES Inc,hightouch.com,https://www.hightouch.com/search?q={query},https://www.hightouch.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
Casters Holdings LLC,hellofyllo.com,https://www.hellofyllo.com/search?q={query},https://www.semasio.com/legal/semasio-privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
Catalina,catalina.com,https://www.catalina.com/search?q={query},https://www.catalina.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
CATALIST LLC,catalist.us,https://www.catalist.us/search?q={query},https://catalist.us/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Catalyze Ai, Inc",catalyzeai.com,https://www.catalyzeai.com/search?q={query},https://www.catalyzeai.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
CDK GLOBAL LLC,cdkglobal.com,https://www.cdkglobal.com/search?q={query},https://www.cdkglobal.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
